"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 06, 2018","27.700","28.710","30.200","27.090","282.48K","-3.52%"
"Dec 05, 2018","28.710","30.740","31.060","28.580","212.39K","-6.51%"
"Dec 04, 2018","30.710","30.490","31.860","29.500","176.40K","0.69%"
"Dec 03, 2018","30.500","33.340","33.450","29.570","261.39K","-8.52%"
"Dec 02, 2018","33.340","33.770","34.600","32.780","166.34K","-1.27%"
"Dec 01, 2018","33.770","31.630","34.780","31.020","187.10K","6.70%"
"Nov 30, 2018","31.650","33.520","34.150","30.810","244.06K","-5.52%"
"Nov 29, 2018","33.500","34.430","35.400","32.700","285.05K","-2.70%"
"Nov 28, 2018","34.430","30.850","36.000","30.710","464.97K","11.60%"
"Nov 27, 2018","30.850","29.100","31.310","28.230","283.77K","6.01%"
"Nov 26, 2018","29.100","30.430","31.800","27.560","458.52K","-4.37%"
"Nov 25, 2018","30.430","28.600","31.920","26.370","555.81K","6.40%"
"Nov 24, 2018","28.600","31.690","32.980","27.790","345.63K","-9.75%"
"Nov 23, 2018","31.690","31.330","32.770","30.340","245.35K","1.25%"
"Nov 22, 2018","31.300","34.300","34.700","31.130","201.48K","-8.72%"
"Nov 21, 2018","34.290","32.230","34.440","31.060","358.67K","6.16%"
"Nov 20, 2018","32.300","35.750","37.500","30.250","751.50K","-9.65%"
"Nov 19, 2018","35.750","41.870","41.870","34.810","515.46K","-14.60%"
"Nov 18, 2018","41.860","41.540","42.950","41.500","71.20K","0.77%"
"Nov 17, 2018","41.540","41.730","41.750","41.150","67.81K","-0.46%"
"Nov 16, 2018","41.730","43.360","43.610","41.250","116.36K","-3.76%"
"Nov 15, 2018","43.360","42.690","43.740","39.590","308.41K","1.57%"
"Nov 14, 2018","42.690","48.840","49.950","40.000","538.95K","-12.59%"
"Nov 13, 2018","48.840","50.320","50.420","48.310","95.23K","-2.96%"
"Nov 12, 2018","50.330","50.820","51.340","50.010","60.53K","-0.93%"
"Nov 11, 2018","50.800","51.860","51.990","49.510","64.63K","-2.04%"
"Nov 10, 2018","51.860","51.640","52.230","51.450","26.67K","0.39%"
"Nov 09, 2018","51.660","52.050","52.520","51.070","70.74K","-0.73%"
"Nov 08, 2018","52.040","53.820","54.450","51.900","89.51K","-3.31%"
"Nov 07, 2018","53.820","55.840","56.400","53.300","118.22K","-3.58%"
"Nov 06, 2018","55.820","53.450","55.970","53.430","136.40K","4.43%"
"Nov 05, 2018","53.450","53.880","54.700","52.580","108.35K","-0.80%"
"Nov 04, 2018","53.880","50.610","55.940","50.470","143.32K","6.46%"
"Nov 03, 2018","50.610","51.130","51.180","50.350","42.24K","-1.02%"
"Nov 02, 2018","51.130","50.160","51.660","50.100","69.37K","1.87%"
"Nov 01, 2018","50.190","49.480","50.450","49.400","64.60K","1.46%"
"Oct 31, 2018","49.470","48.950","50.320","47.600","88.23K","1.06%"
"Oct 30, 2018","48.950","48.450","49.150","48.370","76.57K","1.05%"
"Oct 29, 2018","48.440","51.540","51.630","47.340","167.83K","-6.00%"
"Oct 28, 2018","51.530","51.570","51.660","51.110","38.51K","0.00%"
"Oct 27, 2018","51.530","51.600","51.820","51.300","35.12K","-0.12%"
"Oct 26, 2018","51.590","51.710","52.370","51.160","63.19K","-0.23%"
"Oct 25, 2018","51.710","51.850","51.960","51.540","43.21K","-0.27%"
"Oct 24, 2018","51.850","52.110","52.590","51.700","62.79K","-0.48%"
"Oct 23, 2018","52.100","51.680","52.490","51.400","64.79K","0.83%"
"Oct 22, 2018","51.670","52.230","52.490","51.400","68.84K","-1.07%"
"Oct 21, 2018","52.230","52.830","53.110","52.030","50.08K","-1.14%"
"Oct 20, 2018","52.830","52.510","53.000","52.080","53.77K","0.63%"
"Oct 19, 2018","52.500","51.720","53.120","51.470","83.41K","1.49%"
"Oct 18, 2018","51.730","52.850","53.340","51.010","82.28K","-2.05%"
"Oct 17, 2018","52.810","53.110","53.190","52.250","103.23K","-0.55%"
"Oct 16, 2018","53.100","53.550","54.230","52.540","112.22K","-0.84%"
